TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.
vscode:        Visual Studio Code
deno:        A secure JavaScript and TypeScript runtime
angular:        One framework. Mobile & desktop.
TypeScript:        TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
ant-design:        🌈 A UI Design Language and React UI library
material-ui:        React components for faster and easier web development. Build your own design system, or start with Material Design.
storybook:        📓 UI component dev & test: React, Vue, Angular, React Native, Ember, Web Components & more!
ionic-framework:        A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.
prettier:        Prettier is an opinionated code formatter.
DefinitelyTyped:        The repository for high quality TypeScript type definitions.
nest:        A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀
vuetify:        🐉 Material Component Framework for Vue
taro:        开放式跨端跨框架解决方案，支持使用 React/Vue/Nerv 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5 等应用。 https://taro.jd.com/
angular-cli:        CLI tool for Angular
mobx:        Simple, scalable state management.
ngx-admin:        Customizable admin dashboard template based on Angular 9+
monaco-editor:        A browser based code editor
typeorm:        ORM for TypeScript and JavaScript (ES7, ES6, ES5). Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.
upterm:        A terminal emulator for the 21st century.
NativeScript:        NativeScript empowers you to access native api's from JavaScript directly. Angular, Vue, Svelte, React and you name it compatible.
blueprint:        A React-based UI toolkit for the web
ice:        🚀 Simple and friendly front-end development system（飞冰，简单而友好的前端研发体系 ）https://ice.work/
electron-react-boilerplate:        A Foundation for Scalable Cross-Platform Apps
flatbuffers:        FlatBuffers: Memory Efficient Serialization Library
terminus:        A terminal for a more modern age
apollo-client:        🚀 A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server
gotty:        Share your terminal as a web application
ui-router:        The de-facto solution to flexible routing with nested views in AngularJS
tfjs:        A WebGL accelerated JavaScript library for training and deploying ML models.
editor.js:        A block-styled editor with clean JSON output
react-hook-form:        📋 React Hooks for forms validation (Web + React Native)
Babylon.js:        Babylon.js is a powerful, beautiful, simple, and open game and rendering engine packed into a friendly JavaScript framework.
oni:        Oni: Modern Modal Editing - powered by Neovim
framework:        The Aurelia 1 framework entry point, bringing together all the required sub-modules of Aurelia.
theia:        Eclipse Theia is a cloud & desktop IDE framework implemented in TypeScript.
esbuild:        An extremely fast JavaScript bundler and minifier
typescript-book:        📚 The definitive guide to TypeScript and possibly the best TypeScript book 📖. Free and Open Source 🌹
frontend-bootcamp:        Frontend Workshop from HTML/CSS/JS to TypeScript/React/Redux
cyclejs:        A functional and reactive JavaScript framework for predictable code
desktop:        Simple collaboration from your desktop
interact.js:        JavaScript drag and drop, resizing and multi-touch gestures with inertia and snapping for modern browsers (and also IE9+)
react-redux-typescript-guide:        The complete guide to static typing in "React & Redux" apps using TypeScript
razzle:        ✨ Create server-rendered universal JavaScript applications with no configuration
rome:        The Rome Frontend Toolchain. A linter, compiler, bundler, and more for JavaScript, TypeScript, HTML, Markdown, and CSS.
assemblyscript:        Definitely not a TypeScript to WebAssembly compiler 🚀
postgraphile:        Execute one command (or mount one Node.js middleware) and get an instant high-performance GraphQL API for your PostgreSQL database!
xterm.js:        A terminal for the web
tfjs-core:        WebGL-accelerated ML // linear algebra // automatic differentiation for JavaScript.
swc:        Super-fast typescript / javascript compiler written in rust
n8n:        Free and open fair-code licensed node based Workflow Automation Tool. Easily automate tasks across different services.
testcafe:        A Node.js tool to automate end-to-end web testing.
ant-design-mobile:        A configurable Mobile UI
core:        🚀 The Node.js Framework highly focused on developer ergonomics, stability and confidence
TypeScript-Node-Starter:        A reference example for TypeScript and Node with a detailed README describing how to use the two together.
stencil:        A Web Component compiler for building fast, reusable UI components and Progressive Web Apps 💎 Built by the Ionic Framework team
Vim:        ⭐ Vim for Visual Studio Code
typescript-eslint:        ✨ Monorepo for all the tooling which enables ESLint to support TypeScript
peerjs:        Simple peer-to-peer with WebRTC
awesomo:        An extensive list of cool open source projects written in С, C++, Clojure, Lisp, Elixir, Erlang, Elm, Golang, Haskell, JavaScript, Lua, OCaml, Python, R, Ruby, Rust, Scala etc.
ts-node:        TypeScript execution and REPL for node.js
lila:        ♞ lichess.org: the forever free, adless and open source chess server ♞
devhub:        TweetDeck for GitHub - Filter Issues, Activities & Notifications - Web, Mobile & Desktop with 95% code sharing between them
protobuf.js:        Protocol Buffers for JavaScript (& TypeScript).
typescript-tutorial:        TypeScript 入门教程
deepstream.io:        deepstream.io server
ng-zorro-antd:        UI components lib based on Ant Design for Angular
rax:        🐰 Rax is a progressive React framework for building universal application. https://rax.js.org
nebular:        💥 Customizable Angular UI Library based on Eva Design System 🌚✨Dark Mode
InversifyJS:        A powerful and lightweight inversion of control container for JavaScript & Node.js apps powered by TypeScript.
gridea:        ✍️A static blog writing client (一个静态博客写作客户端)
botframework-sdk:        Bot Framework provides the most comprehensive experience for building conversation applications.
generator-angular-fullstack:        Yeoman generator for an Angular app with an Express server
angularjs-styleguide:        AngularJS styleguide for teams
primeng:        The Most Complete Angular UI Component Library
pulumi:        Pulumi - Modern Infrastructure as Code. Any cloud, any language 🚀
clarity:        UX guidelines, HTML/CSS framework, and Angular components working together to craft exceptional experiences
tslint:        🚦 An extensible linter for the TypeScript language
zero:        Zero is a web server to simplify web development.
este:        This repo is suspended.
engine:        Fast and lightweight WebGL game engine
tsdx:        Zero-config CLI for TypeScript package development
ext-saladict:        Feature-rich professional inline translator.
nerv:        A blazing fast React alternative, compatible with IE8 and React 16.
thinkjs:        Use full ES2015+ features to develop Node.js applications, Support TypeScript.
oclif:        Node.js Open CLI Framework. Built with 💜 by Heroku.
graphql-code-generator:        A tool for generating code based on a GraphQL schema and GraphQL operations (query/mutation/subscription), with flexible support for custom plugins.
aws-cdk:        The AWS Cloud Development Kit is a framework for defining cloud infrastructure in code
poi:        ⚡A zero-config bundler for JavaScript applications.
quicktype:        Generate types and converters from JSON, Schema, and GraphQL
TypeScript-Handbook:        The TypeScript Handbook is a comprehensive guide to the TypeScript language
