Maven is a build automation tool used primarily for Java projects.
jib:        🏗 Build container images for your Java applications.
javacv:        Java interface to OpenCV, FFmpeg, and more
shopping-management-system:        该项目为多个小项目的集合（持续更新中...）。内容类似淘宝、京东等网购管理系统以及图书管理、超市管理等系统。目的在于便于Java初级爱好者在学习完某一部分Java知识后有一个合适的项目锻炼、运用所学知识，完善知识体系。适用人群：Java基础到入门的爱好者。
hope-boot:        🌱 Hope-Boot 一款现代化的脚手架项目
kotlin-examples:        Various examples for Kotlin
docker-maven-plugin:        Maven plugin for running and creating Docker images
dockerfile-maven:        MATURE: A set of Maven tools for dealing with Dockerfiles
maven:        Apache Maven core
TelegramBots:        Java library to create bots using Telegram Bots API
jitpack.io:        Documentation and issues of https://jitpack.io
javacpp-presets:        The missing Java distribution of native C++ libraries
PublicCMS:        现代化java cms，轻松支撑千万数据、千万PV；支持静态化，服务器端包含; 目前已经拥有全球0.0002%的用户，中国本土有北京两大地标(北海公园、中国尊大厦)官网、国家财政部、广电总局、央视影音后台、格兰仕、山西省工业和信息化厅、浙江省财政厅等正在使用；语言支持中、繁、日、英；是一个已走向海外的成熟CMS产品
kft-activiti-demo:        Demo for workflow framework and BPM platform -- Activiti
ssm-demo:        🍌Spring+SpringMVC+Mybatis+easyUI实现简单的后台管理系统
iBase4J:        Spring，SpringBoot 2.0，SpringMVC，Mybatis，mybatis-plus，motan/dubbo分布式，Redis缓存，Shiro权限管理，Spring-Session单点登录，Quartz分布式集群调度，Restful服务，QQ/微信登录，App token登录，微信/支付宝支付；日期转换、数据类型转换、序列化、汉字转拼音、身份证号码验证、数字转人民币、发送短信、发送邮件、加密解密、图片处理、excel导入导出、FTP/SFTP/fastDFS上传下载、二维码、XML读写、高精度计算、系统配置工具类等等。
My-Blog:        🌴A simple & beautiful blogging system implemented with spring-boot & thymeleaf & mybatis My Blog 是由 SpringBoot + Mybatis + Thymeleaf 等技术实现的 Java 博客系统，页面美观、功能齐全、部署简单及完善的代码，一定会给使用者无与伦比的体验
spring-boot-quick:        🌿 基于springboot的快速学习示例,整合自己遇到的开源框架,如：rabbitmq(延迟队列)、Kafka、jpa、redies、oauth2、swagger、jsp、docker、spring-batch、异常处理、日志输出、多模块开发、多环境打包、缓存cache、爬虫、jwt、dubbo和Async等等📌
spotless:        Keep your code spotless
webdrivermanager:        Automatic management of Selenium WebDriver binaries
git-commit-id-maven-plugin:        Maven plugin which includes build-time git repository information into an POJO / *.properties). Make your apps tell you which version exactly they were built from! Priceless in large distributed deployments... :-)
aliyun-openapi-java-sdk:        Alibaba Cloud SDK for Java
Android-Cookbook-Examples:        Contributed code examples from O'Reilly Android Cookbook. See #user-content-table README below!
javafx-maven-plugin:        Maven plugin for JavaFX
scala-steward:        🤖 A bot that helps you keeping your Scala projects up-to-date
cas-overlay-template:        Apereo CAS WAR Overlay template
elements-of-programming-interviews:        Method stubs and test cases for the problems from Elements of Programming Interviews
ok-gradle:        IntelliJ/Android Studio plugin for searching artifacts ids of popular Java libraries.
perfect-ssm:        🍇更完善的Spring+SpringMVC+Mybatis+easyUI后台管理系统(RESTful API+redis)
spock-example:        Spock example specifications along with ready-to-go Gradle and Maven builds
jforgame:        jforgame是一个一站式游戏服务端开发框架，包含游戏服，跨服，匹配服，后台管理系统等模块。同时提供大量业务案例以供学习。
kubernetes-for-java-developers:        A Day in Java Developer’s Life, with a taste of Kubernetes
java-sdk:        百度AI开放平台 Java SDK
shop:        使用SSM实现的一个网上商城
backend-boilerplates:        Boilerplate for Your Server Side(Backend) Application, Java | Spring(Boot, Cloud) | Node.js(Express, Koa, Egg) | Go | Python | DevOps 💫 服务端项目模板
