IPFS is a peer-to-peer protocol for content-addressed sharing of data via a distributed file system.
ipfs:        Peer-to-peer hypermedia protocol
go-ipfs:        IPFS implementation in Go
js-ipfs:        IPFS implementation in JavaScript
orbit-db:        Peer-to-Peer Databases for the Decentralized Web
embark:        Framework for serverless Decentralized Applications using Ethereum, IPFS and other platforms
awesome-ipfs:        Useful resources for using IPFS and building things on top of it
fq-book:        📖 《这本书能让你连接互联网》科学上网Freestyle，了解网络基础知识与实践蹭网操作
ipfs-desktop:        An unobtrusive and user-friendly desktop application for IPFS on Windows, Mac and Linux.
orbit:        A distributed, serverless, peer-to-peer chat application on IPFS
js-libp2p:        The JavaScript Implementation of libp2p networking stack.
vue-ethereum-ipfs:        Distributed Application Starter: Vue front-end, Ethereum / IPFS Backend
ipfspics-server:        Content-addressable, peer-to-peer method of storing and sharing images on the internet.
qri:        you're invited to a data party!
ipfs-companion:        Browser extension that simplifies access to IPFS resources on the web
openbazaar-go:        OpenBazaar 2.0 Server Daemon in Go
ipfs-webui:        A frontend for an IPFS node.
FileNation:        The simplest way to send your files around the world using IPFS. ✏️ 🗃
Peergos:        A p2p, secure file storage, social network and application protocol
awesome-blockchain:        ⚡️Curated list of resources for the development and applications of blockchain.
ipfs-deploy:        Zero-Config CLI to Deploy Static Websites to IPFS
dstatuspage:        Decentralized Status Page
openbazaar-desktop:        OpenBazaar 2.0 Desktop Client (talks to openbazaar-go server daemon)
rust-ipfs:        The InterPlanetary File System (IPFS), implemented in Rust.
peer-pad:        📝 Online editor providing collaborative editing in really real-time using CRDTs and IPFS.
specs:        Content-addressed, authenticated, immutable data structures
dtube:        📺 DTube App
ipfs-search:        Search engine for the Interplanetary Filesystem.
graph-node:        Graph Node indexes data from blockchains such as Ethereum and serves it over GraphQL
diffuse:        A music player that connects to your cloud/distributed storage.
go-textile:        [DEPRECATED] Textile is a set of tools and infrastructure for building composable apps and services on the IPFS network
production:        Production app for D.Tube
negibox:        All in one downloader 全能下载器
berty:        Berty is a secure peer-to-peer messaging app that works with or without internet access, cellular data or trust in the network
Alpha:        Follow the white rabbit 🐇
webfs:        A Filesystem Built On Top of the Web.
ipwb:        InterPlanetary Wayback: A distributed and persistent archive replay system using IPFS
awesome-decentralized:        🕶 Awesome list of distributed, decentralized, p2p apps and tools 👍
IPFSDroid:        Android App for the InterPlanetary File System(IPFS)
eth-dev-reading-list:        A list of links to articles, tutorials and papers that are helpful for people developing on the ethereum stack
photos:        [DEPRECATED] Encrypted, secure, decentralized personal data wallet -- technology behind textile.photos
Arbore:        Friend-to-friend filesharing app to save the world from dystopia
Dweb.page:        Your Gateway to the Distributed Web
ipfs-log:        Append-only log CRDT on IPFS
