Progressive Web Apps are traditional web sites that are enhanced with native like features.
angular:        One framework. Mobile & desktop.
ionic-framework:        A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.
devdocs:        API Documentation Browser
postwoman:        👽 A free, fast and beautiful API request builder (web alternative to Postman) used by 62k+ developers. https://postwoman.io
lighthouse:        Automated auditing, performance metrics, and best practices for the web.
quasar:        Quasar Framework - Build high-performance VueJS user interfaces in record time
rxdb:        💻 🔄 📱 A realtime Database for JavaScript Applications
saleor:        A modular, high performance, headless e-commerce storefront built with Python, GraphQL, Django, and ReactJS.
OnsenUI:        Mobile app development framework and SDK using HTML5 and JavaScript. Create beautiful and performant cross-platform mobile apps. Based on Web Components, and provides bindings for Angular 1, 2, React and Vue.js.
stencil:        A Web Component compiler for building fast, reusable UI components and Progressive Web Apps 💎 Built by the Ionic Framework team
amplify-js:        A declarative JavaScript library for application development using cloud services.
vue-storefront:        Vue Storefront - PWA for eCommerce. 100% offline, platform agnostic, headless, Magento 2 supported. Always Open Source, MIT license. Join us as contributor (contributors@vuestorefront.io). Check out our new blog: https://blog.vuestorefront.io/ and the new community initiative for improving Headless Security standards https://headless-security.or…
rax:        🐰 Rax is a progressive React framework for building universal application. https://rax.js.org
gridsome:        ⚡️ The Jamstack framework for Vue.js
UpUp:        ✈️ Easily create sites that work offline as well as online
offline-plugin:        Offline plugin (ServiceWorker, AppCache) for webpack (https://webpack.js.org/)
preact-cli:        😺 Your next Preact PWA starts in 30 seconds.
assemble:        Get the rocks out of your socks! Assemble makes you fast at web development! Used by thousands of projects for rapid prototyping, themes, scaffolds, boilerplates, e-books, UI components, API documentation, blogs, building websites/static site generator, an alternative to Jekyll for gh-pages and more! Gulp- and grunt-friendly.
PWA-Book-CN:        第一本 PWA 中文书
angular-performance-checklist:        ⚡ Cheatsheet for developing lightning fast progressive Angular applications.
awesome-pwa:        Awesome list of progressive web apps! (PR welcomed ;))
